ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
191,Patrick Patterson,5192000,OKC,29,77,44,33,15.7,3.9,1.3,3.3,39.8,0.8,2.1,38.8,0.5,0.6,86,0.4,2,2.4,0.7,0.4,0.6,0.3,1.1,9.9,0,0,-1.2,F,USA,1,14,1
192,Nick Young,5192000,GSW,32,73,52,21,16.9,7.4,2.6,6.1,42,1.5,4.1,38,0.7,0.8,84.5,0.2,1.2,1.4,0.5,0.5,0.5,0.1,1.2,11,0,0,0.6,G,USA,1,16,1
193,Brandan Wright,5179760,HOU,30,28,11,17,13.6,5,2.1,3.6,57.8,0,0,0,0.8,1.2,63.6,1.2,2.2,3.4,0.5,0.3,0.5,0.9,1.1,13.6,0,0,1.5,C,USA,1,8,1
194,Josh Jackson,5090040,PHX,21,74,18,56,25.1,12.7,4.9,11.6,42.1,0.7,2.8,25.9,2.2,3.5,62.2,1.2,3.3,4.5,1.5,1.9,1,0.4,2.8,22.8,4,0,-6.8,G,USA,1,4,1
195,Marcus Morris,5000000,BOS,28,49,32,17,26.3,13.4,4.8,11.1,43.4,1.7,4.3,39,2.1,2.6,80.3,0.9,4.6,5.5,1.3,1.1,0.6,0.2,1.9,23.3,2,0,0.3,F,USA,1,14,1
196,Dirk Nowitzki,5000000,DAL,39,75,23,52,24.7,12.1,4.5,9.8,45.8,1.8,4.3,41.5,1.3,1.4,90.6,0.3,5.4,5.7,1.6,0.7,0.6,0.6,1.9,24,5,0,-0.8,C,Germany,1,9,1
197,Mike Muscala,5000000,ATL,26,47,11,36,19.3,7.5,2.7,5.6,47.5,1.1,2.8,39.7,1.1,1.2,91.2,1.1,3,4.1,0.9,0.8,0.6,0.5,1.6,16.4,1,0,-2,F,USA,2,44,1
198,Jahlil Okafor,4995120,BKN,22,27,7,20,12.5,6,2.6,4.8,54.3,0,0.1,0,0.8,1.1,72.4,0.7,2.2,3,0.4,0.8,0.1,0.6,1.9,11.6,0,0,-5.9,C,USA,1,3,1
199,Dante Exum,4992385,UTA,22,8,5,3,14.5,8.3,3.1,5.5,56.8,0.5,1.3,40,1.5,1.8,85.7,0.3,1.4,1.6,2.5,1.3,0.5,0.1,1.1,14.6,0,0,1.8,G,Australia,1,5,1
200,Jaylen Brown,4956480,BOS,21,64,45,19,30.7,14.2,5.2,11.3,46.1,1.7,4.3,38.1,2.1,3.3,64.6,1,4.1,5.2,1.7,1.7,1,0.4,2.7,25.1,2,0,5.3,G,USA,1,3,1
201,Jameer Nelson,4736050,DET,36,50,25,25,20.3,4.9,1.9,4.9,38.9,0.8,2.5,33.1,0.3,0.4,80,0.3,1.8,2.1,3.6,1.3,0.5,0.1,1.6,13.3,0,0,-2.2,G,USA,1,20,1
202,Kyle Singler,4666500,OKC,29,12,5,7,4.9,1.9,0.6,1.8,33.3,0.2,0.4,40,0.6,1.1,53.8,0.1,0.8,0.8,0.2,0.3,0.1,0,0.3,3.2,0,0,-0.1,F,USA,2,33,1
203,Justin Holiday,4615385,CHI,28,67,22,45,31.9,12.1,4,10.8,36.9,2.3,6.2,36.3,1.9,2.3,82.7,0.5,3.7,4.1,2.1,1.3,1.1,0.5,1.9,23.5,1,0,-2.4,G,USA,Undrafted,Undrafted,1
204,De'Aaron Fox,4609200,SAC,20,67,21,46,27.3,11.3,4.4,10.7,41.5,0.6,2,30.8,1.8,2.6,71.9,0.4,2.1,2.6,4.3,2.4,1,0.3,2.3,22.1,3,0,-6.3,G,USA,1,5,1
205,Marcus Smart,4538020,BOS,24,54,38,16,29.9,10.2,3.5,9.5,36.7,1.4,4.6,30.1,1.8,2.5,72.9,0.8,2.7,3.5,4.8,2.4,1.3,0.4,2.5,24.4,0,0,3.9,G,USA,1,6,1
